BTC,ETH,ADA,BNB,XRP,SOL,DOT,DOGE,MATIC,LTC,date
8.361197678564664e-25,1.1141327037900519e-22,5.608617754227864e-23,-5.51776889368465e-23,8.361459140117612e-23,1.1160983149247896e-22,5.555194257082465e-23,9.904084778101688e-25,-5.490387388144129e-23,1.0,2018-02-13
2.282592283705518e-22,-6.722100904394175e-22,-8.556117546914717e-23,0.7175699878894594,-2.5029432801695093e-22,-8.960194722088411e-22,0.28243001211054064,-7.012277030145421e-22,1.1319006820381278e-22,3.7133978244535055e-23,2018-02-20
-1.0901932901419895e-22,-1.074631272730142e-22,5.965324023700029e-23,-1.1001627204211756e-22,1.657671105413024e-22,1.0,-1.3616656285933302e-22,4.2788633017930474e-24,6.057947431009547e-23,5.786238603560475e-23,2018-02-27
-1.6065374450939722e-22,-1.0517968863092053e-22,-1.6178123615933574e-22,-1.043684054792117e-22,1.0,-1.0195755408587817e-22,-1.0246568088137586e-22,-1.5647585894102058e-22,-2.7340000046464565e-22,-1.0439802108636776e-22,2018-03-06
1.0917588022422152e-22,2.217435098918617e-22,2.2022324804184347e-22,1.9220479717748903e-22,3.602018888249309e-22,1.0793936569608036e-22,1.0977976115965879e-22,-5.499180447101256e-25,1.0,1.097593276322834e-22,2018-03-13
3.99746701036215e-25,2.7862098255534407e-22,1.0,-5.484630132036774e-23,-1.6580868769258665e-22,4.221903100314225e-23,1.955965193905694e-22,1.1156547595382723e-22,6.836350402741886e-25,1.1158337736634898e-22,2018-03-20
-5.550456353940513e-23,1.1154825711630005e-22,4.074186483622854e-25,7.281984969301113e-25,5.573278890561318e-23,2.2221106073923083e-22,1.872970121886333e-25,1.0,1.1142437675939351e-22,1.1119239784662775e-22,2018-03-27
1.1349651788019916e-22,1.1635097446382799e-22,3.396801295805899e-22,1.0,2.256899710057554e-22,2.2441343789900417e-22,4.43002293641792e-24,1.305865025096681e-22,8.619269587569135e-23,2.248645118818313e-22,2018-04-03
1.1355464572000167e-22,-4.1302007653798624e-23,2.183848078979004e-25,1.1113863050096047e-22,2.225172656784547e-22,1.0,1.6693198870154434e-22,2.779572630250681e-22,5.586727174644926e-23,1.113835114295056e-22,2018-04-10
3.3392624462177987e-22,2.228550862861337e-22,2.8063338287849287e-23,2.7832554389731e-22,1.117020806009275e-22,1.1163566220587116e-22,1.6723349469526014e-22,2.226823487827828e-22,1.1148516810176084e-22,1.0,2018-04-17
1.6719619898947212e-22,2.2248297176097437e-22,1.6675639078701037e-22,3.3336045241843713e-22,1.0,1.1152476325234667e-22,2.2250414637848864e-22,2.676083055066486e-25,1.1152382028546065e-22,-2.693718172798533e-23,2018-04-24
5.660801801824184e-23,1.292817637914139e-24,1.5373749970167382e-22,1.3982421722799312e-22,-1.1002606490978005e-22,5.566379883479102e-23,-1.0966694044467268e-22,4.880326046525491e-25,1.1248831374884347e-22,1.0,2018-05-01
4.1656930343584897e-22,4.44502942008457e-22,3.3341769690273726e-22,1.0,2.2232446653170437e-22,3.3339035024905612e-22,4.443302207430067e-22,5.00305696258868e-22,2.2264523880212305e-22,1.668955136984465e-22,2018-05-08
-1.1045195418696287e-22,-2.2123728729257417e-22,-1.1024068399924299e-22,-4.076277610978593e-23,1.0,-1.378258657726166e-22,-1.2394773760404847e-22,-2.2075566181619383e-22,-2.210179350384503e-22,-1.1153451766843264e-22,2018-05-15
9.368416001801242e-23,1.8638332538041434e-22,1.717862846398764e-24,1.6434207225293152e-22,0.7800047895328618,-4.9934146134541724e-23,5.153429513109669e-23,0.2199952104671382,1.3039639928119464e-22,-7.074675037583583e-23,2018-05-22
1.0666299572021768e-24,-5.442008713649219e-23,1.1198182511237862e-22,2.233436382385958e-24,2.227904388776466e-22,1.114976899720952e-22,1.0,2.227570492690161e-22,1.1227835517334175e-22,-1.1043981966967377e-22,2018-05-29
1.0,-7.935547277554339e-26,-1.1102162228117785e-22,-1.0106706421020786e-25,-3.483792258577518e-26,-1.375418475671521e-23,1.1090581646260036e-22,-1.1083684259038977e-22,-8.166151349821863e-26,-1.1117651884466651e-22,2018-06-05
1.0,1.1093947625763167e-22,5.569925052351668e-23,2.7856623622404894e-23,3.3323130698044127e-22,-5.54308418962809e-23,1.1104467016215625e-22,2.220869586577135e-22,1.1926367711085414e-25,2.22011085277833e-22,2018-06-12
1.0,1.1105328078231494e-22,1.1081935888048771e-22,1.6866928603291176e-25,1.5237753771791456e-22,5.118423527020636e-26,1.1144586729875214e-22,1.3890134149523847e-22,2.2485814656010557e-25,-5.532007330433211e-23,2018-06-19
0.07839880618834193,1.4834822348454008e-22,1.1339051814694136e-22,6.77547900054529e-23,0.9216011938116582,7.303120554378382e-23,-1.2964195713454408e-22,3.089266230075741e-22,-2.494199576322844e-22,-1.158867928460073e-22,2018-06-26
2.2200856007706786e-22,1.0,1.6641364177159637e-22,1.1109236973919274e-22,1.944301429184605e-22,3.331397260633721e-22,1.390281059414812e-22,3.333531050288253e-22,3.330591316213744e-22,7.619775529622604e-23,2018-07-03
